ids,labels,parents
FIAT  VAN,FIAT  VAN,FIAT 
FORD CONVERTIBLE,FORD CONVERTIBLE,FORD
FORD COUPE,FORD COUPE,FORD
FORD DOUBLE CABIN,FORD DOUBLE CABIN,FORD
FORD DUAL CAB,FORD DUAL CAB,FORD
FORD HATCHBACK,FORD HATCHBACK,FORD
FORD PEOPLE MOVER,FORD PEOPLE MOVER,FORD
FORD SINGLE CABIN,FORD SINGLE CABIN,FORD
FORD STATION WAGON,FORD STATION WAGON,FORD
FORD SUV,FORD SUV,FORD
FORD VAN,FORD VAN,FORD
FOTON DUAL CAB,FOTON DUAL CAB,FOTON
FOTON SUV,FOTON SUV,FOTON
FOTON VAN,FOTON VAN,FOTON
GREAT WALL  D/CAB,GREAT WALL  D/CAB,GREAT
GREAT WALL  S/CAB,GREAT WALL  S/CAB,GREAT
GREAT WALL  SUV,GREAT WALL  SUV,GREAT
HAVAL SUV,HAVAL SUV,HAVAL
HINO BUS,HINO BUS,HINO
HINO DOUBLE CABIN,HINO DOUBLE CABIN,HINO
HINO SINGLE CABIN,HINO SINGLE CABIN,HINO
HINO TRUCK,HINO TRUCK,HINO
HINO VAN,HINO VAN,HINO
HONDA CONVERTIBLE,HONDA CONVERTIBLE,HONDA
HONDA COUPE,HONDA COUPE,HONDA
HONDA HATCHBACK,HONDA HATCHBACK,HONDA
HONDA MINIVAN,HONDA MINIVAN,HONDA
HONDA SEDAN,HONDA SEDAN,HONDA
HONDA SUV,HONDA SUV,HONDA
HONDA TRUCK,HONDA TRUCK,HONDA
HONDA VAN,HONDA VAN,HONDA
HONDA WAGON,HONDA WAGON,HONDA
HUMMER CREW CAB,HUMMER CREW CAB,HUMMER
HUMMER SUV,HUMMER SUV,HUMMER
HYUNDAI  SUV,HYUNDAI  SUV,HYUNDAI
HYUNDAI  HATCHBACK,HYUNDAI  HATCHBACK,HYUNDAI
HYUNDAI  OTHER,HYUNDAI  OTHER,HYUNDAI
HYUNDAI  S/CABIN,HYUNDAI  S/CABIN,HYUNDAI
HYUNDAI  SEDAN,HYUNDAI  SEDAN,HYUNDAI
HYUNDAI  STATION WAGON,HYUNDAI  STATION WAGON,HYUNDAI
HYUNDAI  TRUCK,HYUNDAI  TRUCK,HYUNDAI
HYUNDAI  VAN,HYUNDAI  VAN,HYUNDAI
ISUZU DUAL CAB,ISUZU DUAL CAB,ISUZU
ISUZU SINGLE CAB,ISUZU SINGLE CAB,ISUZU
ISUZU SUV,ISUZU SUV,ISUZU
ISUZU TRK,ISUZU TRK,ISUZU
IVECO DAILY DUAL CAB,IVECO DAILY DUAL CAB,IVECO
IVECO DAILY SINGLE CAB,IVECO DAILY SINGLE CAB,IVECO
IVECO DAILY VAN,IVECO DAILY VAN,IVECO
JAC TRUCK,JAC TRUCK,JAC
JAGUAR CONVERTIBLE,JAGUAR CONVERTIBLE,JAGUAR
JAGUAR COUPE,JAGUAR COUPE,JAGUAR
JAGUAR SEDAN,JAGUAR SEDAN,JAGUAR
JAGUAR WAGON,JAGUAR WAGON,JAGUAR
JEEP WAGON,JEEP WAGON,JEEP
KIA HATCHBACK,KIA HATCHBACK,KIA
KIA SEDAN,KIA SEDAN,KIA
KIA STATION WAGON,KIA STATION WAGON,KIA
KIA SUV,KIA SUV,KIA
LANDROVER S/WAGON,LANDROVER S/WAGON,LANDROVER
LEXUS CONVERTIBLE,LEXUS CONVERTIBLE,LEXUS
LEXUS COUPE,LEXUS COUPE,LEXUS
LEXUS HATCHBACK,LEXUS HATCHBACK,LEXUS
LEXUS MINIVAN,LEXUS MINIVAN,LEXUS
LEXUS SEDAN,LEXUS SEDAN,LEXUS
LEXUS SUV,LEXUS SUV,LEXUS
MAN TRUCK,MAN TRUCK,MAN
MARUTI SUZUKI HATCHBACK,MARUTI SUZUKI HATCHBACK,MARUTI
MARUTI SUZUKI SUV,MARUTI SUZUKI SUV,MARUTI
MARUTI SUZUKI VAN,MARUTI SUZUKI VAN,MARUTI
MAZDA CONVERTIBLE,MAZDA CONVERTIBLE,MAZDA
MAZDA HATCHBACK,MAZDA HATCHBACK,MAZDA
MAZDA MINIVAN,MAZDA MINIVAN,MAZDA
MAZDA SEDAN,MAZDA SEDAN,MAZDA
MAZDA SUV,MAZDA SUV,MAZDA
MAZDA TRUCK,MAZDA TRUCK,MAZDA
MAZDA VAN,MAZDA VAN,MAZDA
MAZDA WAGON,MAZDA WAGON,MAZDA
MERCEDES CONVERTIBLE,MERCEDES CONVERTIBLE,MERCEDES
MERCEDES COUPE,MERCEDES COUPE,MERCEDES
MERCEDES HATCHBACK,MERCEDES HATCHBACK,MERCEDES
MERCEDES S. WAGON,MERCEDES S. WAGON,MERCEDES
MERCEDES SEDAN,MERCEDES SEDAN,MERCEDES
MERCEDES SUV,MERCEDES SUV,MERCEDES
MERCEDES VAN,MERCEDES VAN,MERCEDES
MERCEDES WAGON,MERCEDES WAGON,MERCEDES
MERCEDES  SUV,MERCEDES  SUV,MERCEDES
MERCEDES-BENZ TRUCK,MERCEDES-BENZ TRUCK,MERCEDES-BENZ
MINI WAGON,MINI WAGON,MINI
MITSUBISHI D/CAB,MITSUBISHI D/CAB,MITSUBISHI
MITSUBISHI HATCHBACK,MITSUBISHI HATCHBACK,MITSUBISHI
MITSUBISHI MINVAN,MITSUBISHI MINVAN,MITSUBISHI
MITSUBISHI SUV,MITSUBISHI SUV,MITSUBISHI
MITSUBISHI TRUCK,MITSUBISHI TRUCK,MITSUBISHI
MITSUBISHI VAN,MITSUBISHI VAN,MITSUBISHI
MITSUBISHI WAGON,MITSUBISHI WAGON,MITSUBISHI
MITSUBISHI FUSO  TRUCK,MITSUBISHI FUSO  TRUCK,MITSUBISHI
NETA COUPE,NETA COUPE,NETA
NETA SEDAN,NETA SEDAN,NETA
NETA SUV,NETA SUV,NETA
NIO SEDAN,NIO SEDAN,NIO
NIO STATION WAGON,NIO STATION WAGON,NIO
NIO SUV,NIO SUV,NIO
NIO SUV-COUPE,NIO SUV-COUPE,NIO
NISSAN BUS,NISSAN BUS,NISSAN
NISSAN COUPE,NISSAN COUPE,NISSAN
NISSAN DUAL CAB,NISSAN DUAL CAB,NISSAN
NISSAN HATCHBACK,NISSAN HATCHBACK,NISSAN
NISSAN MINIVAN,NISSAN MINIVAN,NISSAN
NISSAN SEDAN,NISSAN SEDAN,NISSAN
NISSAN SINGLE CAB,NISSAN SINGLE CAB,NISSAN
NISSAN SUV,NISSAN SUV,NISSAN
NISSAN TRUCK,NISSAN TRUCK,NISSAN
NISSAN VAN,NISSAN VAN,NISSAN
NISSAN WAGON,NISSAN WAGON,NISSAN
NISSAN DIESEL/UD TRK,NISSAN DIESEL/UD TRK,NISSAN
OPEL HATCHBACK,OPEL HATCHBACK,OPEL
OPEL SEDAN,OPEL SEDAN,OPEL
OPEL WAGON,OPEL WAGON,OPEL
PEUGEOT HATCHBACK,PEUGEOT HATCHBACK,PEUGEOT
PEUGEOT SEDAN,PEUGEOT SEDAN,PEUGEOT
PEUGEOT SUV,PEUGEOT SUV,PEUGEOT
PEUGEOT VAN,PEUGEOT VAN,PEUGEOT
PEUGEOT WAGON,PEUGEOT WAGON,PEUGEOT
PORSCHE CONVERTIBLE,PORSCHE CONVERTIBLE,PORSCHE
PORSCHE COUPE,PORSCHE COUPE,PORSCHE
PORSCHE HATCHBACK,PORSCHE HATCHBACK,PORSCHE
PORSCHE SEDAN,PORSCHE SEDAN,PORSCHE
PORSCHE SUV,PORSCHE SUV,PORSCHE
PORSCHE WAGON,PORSCHE WAGON,PORSCHE
RENAULT HATCHBACK,RENAULT HATCHBACK,RENAULT
RENAULT PEOPLE MOVER,RENAULT PEOPLE MOVER,RENAULT
RENAULT SINGLE CAB,RENAULT SINGLE CAB,RENAULT
RENAULT SUV,RENAULT SUV,RENAULT
RENAULT VAN,RENAULT VAN,RENAULT
RENAULT WAGON,RENAULT WAGON,RENAULT
ROLLS-ROYCE CONVERTIBLE,ROLLS-ROYCE CONVERTIBLE,ROLLS-ROYCE
ROLLS-ROYCE COUPE,ROLLS-ROYCE COUPE,ROLLS-ROYCE
ROLLS-ROYCE SEDAN,ROLLS-ROYCE SEDAN,ROLLS-ROYCE
ROLLS-ROYCE SUV,ROLLS-ROYCE SUV,ROLLS-ROYCE
SAIC MOTORS HATCHBACK,SAIC MOTORS HATCHBACK,SAIC
SAIC MOTORS PICKUP,SAIC MOTORS PICKUP,SAIC
SAIC MOTORS ROADSTER,SAIC MOTORS ROADSTER,SAIC
SAIC MOTORS SEDAN,SAIC MOTORS SEDAN,SAIC
SAIC MOTORS SUV,SAIC MOTORS SUV,SAIC
SCANIA ,SCANIA ,SCANIA
SCANIA TRUCK,SCANIA TRUCK,SCANIA
SHACMAN TRACTOR,SHACMAN TRACTOR,SHACMAN
SHACMAN TRUCK,SHACMAN TRUCK,SHACMAN
SKODA HATCHBACK,SKODA HATCHBACK,SKODA
SKODA SEDAN,SKODA SEDAN,SKODA
SKODA SUV,SKODA SUV,SKODA
SKODA WAGON,SKODA WAGON,SKODA
SUBARU COUPE,SUBARU COUPE,SUBARU
SUBARU HATCHBACK,SUBARU HATCHBACK,SUBARU
SUBARU MINIVAN,SUBARU MINIVAN,SUBARU
SUBARU SEDAN,SUBARU SEDAN,SUBARU
SUBARU SUV,SUBARU SUV,SUBARU
SUBARU TRUCK,SUBARU TRUCK,SUBARU
SUBARU VAN,SUBARU VAN,SUBARU
SUBARU WAGON,SUBARU WAGON,SUBARU
SUZUKI HATCBACK,SUZUKI HATCBACK,SUZUKI
SUZUKI MINIVAN,SUZUKI MINIVAN,SUZUKI
SUZUKI SUV,SUZUKI SUV,SUZUKI
SUZUKI TRUCK,SUZUKI TRUCK,SUZUKI
SUZUKI VAN,SUZUKI VAN,SUZUKI
SUZUKI WAGON,SUZUKI WAGON,SUZUKI
TATA AMBULANCE,TATA AMBULANCE,TATA
TATA BUS,TATA BUS,TATA
TATA DUAL CAB,TATA DUAL CAB,TATA
TATA MINI BUS,TATA MINI BUS,TATA
TATA PICK UP,TATA PICK UP,TATA
TATA PRIM£ MOVER,TATA PRIM£ MOVER,TATA
TATA SINGLE CAB,TATA SINGLE CAB,TATA
TATA TIPPER,TATA TIPPER,TATA
TATA TRANSIT  MIXER,TATA TRANSIT  MIXER,TATA
TATA TRUCK,TATA TRUCK,TATA
TOYOTA BUS,TOYOTA BUS,TOYOTA
TOYOTA CONVRTIBLE,TOYOTA CONVRTIBLE,TOYOTA
TOYOTA COUPE,TOYOTA COUPE,TOYOTA
TOYOTA D/CAB,TOYOTA D/CAB,TOYOTA
TOYOTA HATCHBACK,TOYOTA HATCHBACK,TOYOTA
TOYOTA MINIVAN,TOYOTA MINIVAN,TOYOTA
TOYOTA S/CAB,TOYOTA S/CAB,TOYOTA
TOYOTA S/WAGON,TOYOTA S/WAGON,TOYOTA
TOYOTA SALOON,TOYOTA SALOON,TOYOTA
TOYOTA SEDAN,TOYOTA SEDAN,TOYOTA
TOYOTA SUV,TOYOTA SUV,TOYOTA
TOYOTA TRUCK,TOYOTA TRUCK,TOYOTA
TOYOTA VAN,TOYOTA VAN,TOYOTA
TOYOTA WAGON,TOYOTA WAGON,TOYOTA
VAUXHALL VAN,VAUXHALL VAN,VAUXHALL
VOLKSWAGEN COUPE,VOLKSWAGEN COUPE,VOLKSWAGEN
VOLKSWAGEN HATCHBACK,VOLKSWAGEN HATCHBACK,VOLKSWAGEN
VOLKSWAGEN OTHER,VOLKSWAGEN OTHER,VOLKSWAGEN
VOLKSWAGEN SEDAN,VOLKSWAGEN SEDAN,VOLKSWAGEN
VOLKSWAGEN VAN,VOLKSWAGEN VAN,VOLKSWAGEN
VOLKSWAGEN WAGON,VOLKSWAGEN WAGON,VOLKSWAGEN
VOLVO S. WAGON,VOLVO S. WAGON,VOLVO
VOLVO SEDAN,VOLVO SEDAN,VOLVO
VOLVO SUV,VOLVO SUV,VOLVO
XPENG SUV,XPENG SUV,XPENG
XPENG SEDAN,XPENG SEDAN,XPENG
MARUTI SUZUKI HATCHBACK,MARUTI SUZUKI HATCHBACK,MARUTI SUZUKI
MARUTI SUZUKI SUV,MARUTI SUZUKI SUV,MARUTI SUZUKI
MARUTI SUZUKI VAN,MARUTI SUZUKI VAN,MARUTI SUZUKI
